67,BOTTOMINFRARED,edgeLeft,659,lineLeft,668,lineCenter,783,lineRight,652,edgeRight,570
68,LIGHT,lightLeft,499,lightCneter,481,lightRight,415
67,MAGNETOMETER,x,68.08,y,-162.84,z,176.64
67,ACCELEROMETER,x,0.33,y,-0.47,z,-9.43
67,BOTTOMINFRARED,edgeLeft,655,lineLeft,668,lineCenter,784,lineRight,652,edgeRight,569
67,LIGHT,lightLeft,490,lightCneter,480,lightRight,426
68,MAGNETOMETER,x,67.16,y,-161.92,z,174.80
67,ACCELEROMETER,x,0.27,y,-0.48,z,-9.56
67,BOTTOMINFRARED,edgeLeft,650,lineLeft,668,lineCenter,782,lineRight,651,edgeRight,571
67,LIGHT,lightLeft,488,lightCneter,489,lightRight,430
66,MAGNETOMETER,x,66.24,y,-163.76,z,174.80
68,ACCELEROMETER,x,0.32,y,-0.43,z,-9.34
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,668,lineCenter,783,lineRight,652,edgeRight,571
68,LIGHT,lightLeft,489,lightCneter,501,lightRight,436
68,MAGNETOMETER,x,68.08,y,-163.76,z,174.80
67,ACCELEROMETER,x,0.28,y,-0.45,z,-9.45
67,BOTTOMINFRARED,edgeLeft,657,lineLeft,670,lineCenter,782,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,500,lightCneter,511,lightRight,442
68,MAGNETOMETER,x,66.24,y,-162.84,z,174.80
67,ACCELEROMETER,x,0.30,y,-0.48,z,-9.42
67,BOTTOMINFRARED,edgeLeft,655,lineLeft,667,lineCenter,782,lineRight,654,edgeRight,571
68,LIGHT,lightLeft,513,lightCneter,520,lightRight,440
66,MAGNETOMETER,x,68.08,y,-163.76,z,174.80
67,ACCELEROMETER,x,0.32,y,-0.46,z,-9.41
68,BOTTOMINFRARED,edgeLeft,648,lineLeft,668,lineCenter,783,lineRight,653,edgeRight,570
66,LIGHT,lightLeft,523,lightCneter,526,lightRight,439
68,MAGNETOMETER,x,67.16,y,-162.84,z,173.88
68,ACCELEROMETER,x,0.30,y,-0.48,z,-9.38
67,BOTTOMINFRARED,edgeLeft,651,lineLeft,668,lineCenter,781,lineRight,654,edgeRight,571
68,LIGHT,lightLeft,532,lightCneter,526,lightRight,435
67,MAGNETOMETER,x,64.40,y,-163.76,z,173.88
67,ACCELEROMETER,x,0.29,y,-0.49,z,-9.34
67,BOTTOMINFRARED,edgeLeft,653,lineLeft,670,lineCenter,783,lineRight,652,edgeRight,570
68,LIGHT,lightLeft,538,lightCneter,520,lightRight,429
67,MAGNETOMETER,x,65.32,y,-163.76,z,174.80
67,ACCELEROMETER,x,0.33,y,-0.47,z,-9.34
67,BOTTOMINFRARED,edgeLeft,649,lineLeft,669,lineCenter,783,lineRight,652,edgeRight,570
66,LIGHT,lightLeft,537,lightCneter,511,lightRight,426
67,MAGNETOMETER,x,64.40,y,-162.84,z,179.40
68,ACCELEROMETER,x,0.34,y,-0.42,z,-9.44
68,BOTTOMINFRARED,edgeLeft,653,lineLeft,668,lineCenter,785,lineRight,653,edgeRight,571
68,LIGHT,lightLeft,530,lightCneter,498,lightRight,421
68,MAGNETOMETER,x,64.40,y,-160.08,z,177.56
67,ACCELEROMETER,x,0.27,y,-0.46,z,-9.42
67,BOTTOMINFRARED,edgeLeft,657,lineLeft,669,lineCenter,784,lineRight,652,edgeRight,570
67,LIGHT,lightLeft,517,lightCneter,490,lightRight,420
68,MAGNETOMETER,x,62.56,y,-158.24,z,179.40
67,ACCELEROMETER,x,0.30,y,-0.52,z,-9.57
67,BOTTOMINFRARED,edgeLeft,653,lineLeft,668,lineCenter,783,lineRight,652,edgeRight,571
68,LIGHT,lightLeft,505,lightCneter,484,lightRight,420
66,MAGNETOMETER,x,65.32,y,-164.68,z,173.88
67,ACCELEROMETER,x,0.30,y,-0.46,z,-9.41
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,573
66,LIGHT,lightLeft,495,lightCneter,484,lightRight,423
68,MAGNETOMETER,x,66.24,y,-161.92,z,176.64
68,ACCELEROMETER,x,0.33,y,-0.51,z,-9.48
67,BOTTOMINFRARED,edgeLeft,654,lineLeft,670,lineCenter,782,lineRight,652,edgeRight,571
68,LIGHT,lightLeft,489,lightCneter,487,lightRight,428
67,MAGNETOMETER,x,67.16,y,-163.76,z,173.88
68,ACCELEROMETER,x,0.30,y,-0.47,z,-9.42
67,BOTTOMINFRARED,edgeLeft,657,lineLeft,669,lineCenter,782,lineRight,653,edgeRight,571
68,LIGHT,lightLeft,489,lightCneter,495,lightRight,435
68,MAGNETOMETER,x,65.32,y,-163.76,z,177.56
66,ACCELEROMETER,x,0.31,y,-0.53,z,-9.43
67,BOTTOMINFRARED,edgeLeft,655,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,571
66,LIGHT,lightLeft,498,lightCneter,508,lightRight,441
66,MAGNETOMETER,x,66.24,y,-163.76,z,173.88
