LA,<,0,l,975,c,960,r,979
LA,<,0,l,977,c,976,r,980
LA,<,0,l,977,c,980,r,980
LA,<,30,l,971,c,967,r,979
LA,<,30,l,969,c,965,r,981
LA,<,30,l,971,c,968,r,981
LA,<,60,l,963,c,943,r,979
LA,<,60,l,963,c,926,r,978
LA,<,60,l,963,c,943,r,980
LA,<,90,l,966,c,836,r,980
LA,<,90,l,966,c,825,r,979
LA,<,90,l,964,c,832,r,979
LA,<,120,l,943,c,713,r,974
LA,<,120,l,953,c,709,r,971
LA,<,120,l,945,c,715,r,973
LA,<,150,l,954,c,657,r,968
LA,<,150,l,961,c,657,r,965
LA,<,150,l,954,c,657,r,967
LA,<,180,l,969,c,781,r,970
LA,<,180,l,969,c,788,r,968
LA,<,180,l,968,c,783,r,969
LA,<,210,l,973,c,873,r,970
LA,<,210,l,975,c,889,r,968
LA,<,210,l,975,c,879,r,970
LA,<,240,l,978,c,964,r,972
LA,<,240,l,977,c,962,r,971
LA,<,240,l,975,c,959,r,972
LA,<,270,l,977,c,973,r,975
LA,<,270,l,977,c,974,r,974
LA,<,270,l,978,c,971,r,975
LA,<,300,l,976,c,975,r,977
LA,<,300,l,979,c,975,r,977
LA,<,300,l,977,c,976,r,979
LA,<,330,l,979,c,976,r,978
LA,<,330,l,979,c,977,r,979
LA,<,330,l,977,c,977,r,978
